,Epoch,CLARIFY Train AUROC,CLARIFY Train AP,CLARIFY Test AP,CLARIFY Test ROC,CLARIFY Test AUPRC,CLARIFY Test ACC,CLARIFY Test MCC,CLARIFY test Recall,CLARIFY Test f1-score,CLARIFT Test Precision0.5,Test_Specificity_confusion
152,152,0.946488374,0.92626554,0.882743516,0.914316853,0.882616387,0.849829352,0.699782003,0.859215017,0.851225697,0.843383585,0.84044
153,153,0.94765485,0.928305152,0.88490456,0.915313152,0.884781616,0.857508532,0.716019664,0.883959044,0.861180382,0.839546191,0.83106
154,154,0.948492592,0.930066377,0.88704075,0.916392445,0.886920407,0.860494881,0.722170787,0.889078498,0.86437163,0.841000807,0.83191
155,155,0.949059086,0.931723196,0.889190643,0.916886044,0.889080331,0.857081911,0.714166162,0.855802048,0.856898761,0.857998289,0.85836
156,156,0.950451424,0.933588878,0.891909138,0.919110881,0.891798772,0.864334471,0.729093703,0.881399317,0.866610738,0.852310231,0.84727
157,157,0.951069453,0.932425446,0.892752612,0.92226249,0.892627378,0.862201365,0.726896616,0.903583618,0.867677181,0.834515366,0.82082
158,158,0.951982928,0.933447281,0.894012314,0.922676735,0.893881616,0.863054608,0.727849603,0.897610922,0.867628866,0.839584996,0.8285
159,159,0.952818264,0.934547134,0.895265193,0.923505952,0.895134879,0.867320819,0.735512023,0.891638225,0.870470637,0.850284784,0.843
160,160,0.953804264,0.935613158,0.89582149,0.923982079,0.895701896,0.863054608,0.726168693,0.869453925,0.863925392,0.858466723,0.85666
161,161,0.953199202,0.934163203,0.894627176,0.923334139,0.894519542,0.862627986,0.726272929,0.889078498,0.866167914,0.844408428,0.83618
162,162,0.952790658,0.93356007,0.895854292,0.924252903,0.895747011,0.866040956,0.732354946,0.879692833,0.867845118,0.856312292,0.85239
163,163,0.951596309,0.932310119,0.8942152,0.923222752,0.894102122,0.863054608,0.726910082,0.886518771,0.866194248,0.846780766,0.83959
164,164,0.953820039,0.935154167,0.899449437,0.925921531,0.899344412,0.86390785,0.728104383,0.877986348,0.865797223,0.853941909,0.84983
165,165,0.95372686,0.934824915,0.898199298,0.925136723,0.898087885,0.863054608,0.726331603,0.875426621,0.864728192,0.854288093,0.85068
166,166,0.953788155,0.934944709,0.89700096,0.924984566,0.896883166,0.863481229,0.727114928,0.873720137,0.864864865,0.856187291,0.85324
167,167,0.955342587,0.937738674,0.902087956,0.92698226,0.901987194,0.861774744,0.723553702,0.860068259,0.861538462,0.863013699,0.86348
168,168,0.956142295,0.93971511,0.904869014,0.927298949,0.904781207,0.87116041,0.742451637,0.880546075,0.872358411,0.864321608,0.86177
169,169,0.956600035,0.94024857,0.904391194,0.926918922,0.904304351,0.874573379,0.749885223,0.896757679,0.877295492,0.858660131,0.85239
170,170,0.956557456,0.940198534,0.903572098,0.926354704,0.903485545,0.875853242,0.752865244,0.903583618,0.879202989,0.856103476,0.84812
171,171,0.957131437,0.940951725,0.90276108,0.92646318,0.90267083,0.875,0.750603804,0.895051195,0.877457131,0.860541427,0.85495
172,172,0.957954273,0.942680165,0.905080203,0.928121615,0.904990263,0.870733788,0.741480802,0.86774744,0.870346598,0.872961373,0.87372
173,173,0.958692218,0.943697438,0.905706957,0.929782962,0.905605793,0.864761092,0.729886,0.848976109,0.862592111,0.876651982,0.88055
174,174,0.958986194,0.943647703,0.905058292,0.930861891,0.90494227,0.866467577,0.733300671,0.850682594,0.864325964,0.878414097,0.88225
175,175,0.958750038,0.942398807,0.903117829,0.930941974,0.902985559,0.865187713,0.730555218,0.854095563,0.863675582,0.873472949,0.87628
176,176,0.958925233,0.94206834,0.903358849,0.931916068,0.903216441,0.872866894,0.745743561,0.875426621,0.873191489,0.870967742,0.87031
177,177,0.959463652,0.942960761,0.90452684,0.932315024,0.904396327,0.866040956,0.732467021,0.849829352,0.863833478,0.878306878,0.88225
178,178,0.959805955,0.943649208,0.904786758,0.931873842,0.904665972,0.882679181,0.76684735,0.913822526,0.88622259,0.860240964,0.85154
179,179,0.959922997,0.94393346,0.906768729,0.931554241,0.906661327,0.859215017,0.719866395,0.827645051,0.854625551,0.883424408,0.89078
180,180,0.960798171,0.945388183,0.904758551,0.92964027,0.9046514,0.872440273,0.745108684,0.884812287,0.873999157,0.863447127,0.86007
181,181,0.960599113,0.945373165,0.903885395,0.927591614,0.90377733,0.872866894,0.746085844,0.888225256,0.874789916,0.861754967,0.85751
182,182,0.960770766,0.946922429,0.903477656,0.927654952,0.903361122,0.874146758,0.748666692,0.889931741,0.876102478,0.862696443,0.85836
183,183,0.959333108,0.945409135,0.902031691,0.927914492,0.901886389,0.871587031,0.745044739,0.906996587,0.875978574,0.847011952,0.83618
184,184,0.959872263,0.945580239,0.899396002,0.927448194,0.899229563,0.873720137,0.749276461,0.908703072,0.877988458,0.849282297,0.83874
185,185,0.960929116,0.945962913,0.90492105,0.931803952,0.904763531,0.866467577,0.732937555,0.865187713,0.866296455,0.867408041,0.86775
186,186,0.959880151,0.942812146,0.900318786,0.932937483,0.900124838,0.884812287,0.772112004,0.924914676,0.889253486,0.856240126,0.84471
187,187,0.960100665,0.943595531,0.903010819,0.935166688,0.902825402,0.880119454,0.762342215,0.917235495,0.884409708,0.853852264,0.843
188,188,0.959981752,0.944659062,0.901414649,0.933701907,0.901248865,0.873293515,0.74688316,0.859215017,0.871484206,0.884108867,0.88737
189,189,0.95985221,0.945811853,0.904393936,0.932944035,0.904247716,0.877986348,0.756131251,0.888225256,0.879222973,0.870401338,0.86775
190,190,0.959596469,0.946055104,0.906502902,0.93323306,0.906365791,0.877133106,0.754798325,0.895904437,0.879396985,0.863486842,0.85836
191,191,0.959507167,0.946060783,0.90690873,0.933251989,0.906764837,0.873720137,0.747509934,0.866894198,0.872852234,0.878892734,0.88055
